legbody,ID,title,descr,LGA,SA4CODE_2021_2022,IPCCA_Behavioural_and_Cultural,IPCCA_Knowledge,IPCCA_Infrastructural_and_Technological,IPCCA_Nature_Based,IPCCA_Institutional,Funding,Organisation_University,Organisation_Federal_Government,Organisation_Private_Organisations,Organisation_State_Territory_Gov,Organisation_Civil_Society,Organisation_Regional_Organisation,Organisation_Local_Government,Organisation_Other,Purpose_Governance_Instruments,Purpose_Information_Gathering,Purpose_Research,Purpose_Knowledge_Building,Purpose_Stakeholder_Engagement,Purpose_Coordination,Purpose_Institutional_Change,Purpose_Intervention,Hazard_Fire,Hazard_Drought,Hazard_Temperature_Extremes,Hazard_Changes_Precipitation,Hazard_Coastal_erosion_flooding_change,Hazard_Ocean_warming_acidification,Hazard_Humidity,Hazard_Extreme_wind,Hazard_General_Climate_Change,Hazard_Riverine_Flooding,Climate_Risk_Assessment_Infrastructure_Built_Environment,Climate_Risk_Assessment_Health_Social_Support,Climate_Risk_Assessment_Natural_Environment,Climate_Risk_Assessment_Primary_Industries_Food_System,Climate_Risk_Assessment_Regional_Remote_Communities,Climate_Risk_Assessment_Economy_Trade_Financial_System,Climate_Risk_Assessment_Multi_System,Climate_Risk_Assessment_Defence_National_Security,Start_Year,End_Year,Party_Labor,Party_Liberal,Party_Nationals,Party_Labor_Greens,Party_Liberal_National,Population_Abundance
South Australia,93,Nature like nowhere else_ Activating nature based Tourism in South Australia,Outlines the state governments vision and actions to make SA a leader in nature based tourism,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2016,2016,1,0,0,0,0,1676653
South Australia,95,People at Risk in Emergencies Framework for South Australia,Provides guideance for how state and local governments can work together to strengthen prepardness,NA,SA,0,0,0,0,1,Disaster Risk Reduction Grants,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2016,2023,1,0,0,0,0,1676653
South Australia,101,SA Advanced Manufacturing Strategy,Recognises the need for climate adaptation measures to be considered in order to protect supply chains and critical infrastructure,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2016,2016,1,0,0,0,0,1676653
South Australia,103,SA Aquaculture Regulations 2016,Regulations build on intentional goals by creating actionable plans and establishing monitoring and evaluation frameworks to address climate change impacts,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2016,2016,1,0,0,0,0,1676653
South Australia,119,SA Planning Development and Infrastructure Act 2016,Introduces Planning and Design Codea_ framework that replaces previous council specific development plans,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2016,2016,1,0,0,0,0,1676653
South Australia,27,City of Marion Coastal management planning,Focus on strong foundations established_ Data collected by the initiative as part of integrated vulnerbility assessment are being used to develop a more detailed form,Marion,403,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,2017,NA,1,0,0,0,0,1723500
South Australia,71,Australia Red Cross Climate Ready Communities   A Guide to Getting Started Report,A guide to getting started is a report to take the climate change adaptation conservation from the boardroom table to the kitchen table,NA,SA,0,1,0,0,0,Department of Environment and Water,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2017,2017,1,0,0,0,0,1723500
South Australia,94,Northern and Yorke Regional Climate Partnership,Regional apartnerships established to deliver practical action to strengthen the climate resilience of their communities,NA,405,0,0,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,2017,NA,1,0,0,0,0,1723500
South Australia,100,River Torrens Recovery Project,Designed to rehabilitate the river to enable it to operate as a flood management for Adelaide,NA,401,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2017,2022,1,0,0,0,0,1723500
South Australia,9,Royal Adelaide Hospital 4 Green Star Rating,The site boasts a total of 3_8 hectares of landscape environment including more than 70 internal themed courtyards,Adelaide,401,0,0,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2018,NA,0,1,0,0,0,1742700
South Australia,10,Alexandrina Council Coastal Adaptation Study and Plan,Identify assets that are at risk and potential adaptation options for the coastline,Alexandrina,403,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2018,2022,0,1,0,0,0,1742700
South Australia,22,Holdfast Bay Dune Biodiversity Action Plan,Biodiversity projects being undertaken across councils,Holdfast Bay,403,0,0,0,0,1,Local Government,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2019,2025,0,1,0,0,0,1767395
South Australia,50,The Feeling Hot Hot Hot! Program,Involved a hypothetical heatwave panel discussion,Prospect; Campbelltown SA; Burnside; Adelaide,401,0,1,0,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2019,2019,0,1,0,0,0,1767395
South Australia,61,Regeneration of Breakout Creek,Redeveloped and vegetated improving species habitat and water quality,West Torrens; Charles Sturt Adelaide,404,0,0,0,1,0,Planning and Development Fund,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2019,2024,0,1,0,0,0,1767395
South Australia,69,Alert South Australia Mobile App,Designed to provide timely and relevant bushfire information to communities across the state,NA,SA,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2019,NA,0,1,0,0,0,1767395
South Australia,79,Creating Greener Places for Healthy and Sustainability Communities Report 2019,Developed to improve green open spaces in SA_ Aims to develop more green open spaces that can mitigate the effect of Urban heat Islands,NA,SA,0,1,0,0,0,NA,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2019,2019,0,1,0,0,0,1767395
South Australia,85,Green Adelaide,Working towards a cooler greener wilder and more climate resilient city,NA,401,0,0,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2019,NA,0,1,0,0,0,1767395
South Australia,88,Healthy in the Heat 2019 Report,Provides tips and suggestions for maintaining wellbeing and health during extreme heat,NA,SA,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2019,NA,0,1,0,0,0,1767395
South Australia,90,Landscape South Australia 2022 23 Priorities Fund Projects,Work with collaborators to invest in environmental projects,NA,SA,0,0,0,1,0,Green Adelaide,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2019,NA,0,1,0,0,0,1767395
South Australia,91,Landscape South Australia Act 2019,Provides a framework for the sustainable and integrated management of SA natural resources,NA,SA,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2019,2020,0,1,0,0,0,1767395
South Australia,97,Resilient East Water Smart Campaign,Planning and designing of gardens homes streets and cities to ensure theu make sure the best use of water in urban areas,NA,SA,0,1,0,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2019,2022,0,1,0,0,0,1767395
South Australia,110,SA Disaster Resilience Strategy 2019 2024,Aims to build resilience across SA by addressing the challenges posed by natural disasters and climate change impacts,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2019,2024,0,1,0,0,0,1767395
South Australia,124,SA State Public Health Plan 2019 2024,Provides a framework for addressing public health challenges,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2019,2024,0,1,0,0,0,1767395
South Australia,131,Simulated Rainfall Recovery Program for Stick Nest Rats,Stimulating rainfall events in Australia arid zones_ Aim to simulate growth of preferred food plants crucial for stick nest rats,NA,406,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,2019,0,1,0,0,0,1767395
South Australia,136,South Australian Disaster Risk Reduction Grants,Focuses on two eligible activity streams_ 1 focuses on Aboriginal disaster risk reduction projects while 2 focuses on short term disaster risk reduction projects,NA,SA,0,0,0,0,1,Commonwealth; South Australian Governmenet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,2019,NA,0,1,0,0,0,1767395
South Australia,151,The Murray Darling Healthy Rivers Project,Engages Murraylands and Riverland Landscape Board staff to conduct extensive river and floodplain surveys,NA,407,0,0,0,1,0,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2019,2023,0,1,0,0,0,1767395
South Australia,1,Thompson Beach dune biodiversity replanting,Revegetation was needed to restore the dunes biodiversity and adapt to the changing climate,Adelaide Plains,404,0,0,0,1,0,Local Government,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,NA,0,1,0,0,0,1770790
South Australia,11,Alexandrina Council Emergency Action Plan,Enhance prepardness for natural disasters and extreme weather events,Alexandrina,403,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,2020,2023,0,1,0,0,0,1770790
South Australia,19,City of Holdfast Environmental Strategy,Looks to protect areas of cultural significance increase volunteering and support community connectedness events aligned with heritage,Holdfast Bay,403,0,0,0,0,1,Local Government,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2020,2025,0,1,0,0,0,1770790
South Australia,25,Alexandrina Council Coastal Community Flood Emergency Plan,Outlines the actions a community can take before during and after coastal flood events to help reduce the likelihood and consequences of emergencies on people,Lower Eyre Peninsula; Alexandrina,405; 407,0,0,0,0,1,NA,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2020,2026,0,1,0,0,0,1770790
South Australia,26,The Eyre Peninsula Regenerative Agriculture Program,Increase awareness knowledge and adoption fo sustainable land management practices,Lower Eyre Peninsula; Alexandrina,405; 407,0,1,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,2023,0,1,0,0,0,1770790
South Australia,29,Hallett Cove soft dune stabilisation,Revegetation access restriction and sand drift fencing have all been used succesfully,Marion,403,0,0,0,1,0,Local and State Government,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2020,NA,0,1,0,0,0,1770790
South Australia,38,Murray Bridge Environmental Management Plan 2021,Planned and ongoing actions for installing Water Sensitive Urban design updating stormwater management plan to explore use of stormwater in wetlands,Murray Bridge,405,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2020,2024,0,1,0,0,0,1770790
South Australia,86,Green Adelaide Climate Ready Schools,Encourages schools and students to use STEM approaches to identifying climate change issues in local settings,NA,401,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2020,NA,0,1,0,0,0,1770790
South Australia,89,Infrastructure SAs 20 year State Infrastructure Strategy 2020,First long term plan for infrastructure investment setting priorities over 20 years to support economic growth,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2020,2025,0,1,0,0,0,1770790
South Australia,117,SA Our Housing Future 2020 2030 Strategy,Aimed at transforming the states housing system,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2020,2030,0,1,0,0,0,1770790
South Australia,126,SA Waste Strategy 2020 2025,Minimize waste generation enhance resource recovery and transition towards a circular economy,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2020,2025,0,1,0,0,0,1770790
South Australia,132,South Australia Climate Ready Communities,Empowering people to understand the risks they currently face the way these are changing and what they can do to build their resilience,NA,SA,1,0,0,0,0,NA,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2020,NA,0,1,0,0,0,1770790
South Australia,135,South Australian Department of Transport Climate Change Adaptation Guideline ,Provides a process to follow that incorporates climate risks into future planning and development of a climate risk regisster,NA,SA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2020,2022,0,1,0,0,0,1770790
South Australia,140,South Australian SES Updated Warning Systems,Updated their warning signs/levels in accordance to the new Australian warning system_ Provide awareness of hazards potentially reducing the number people who are unexpectedly impacted by hazard events and require emergency assistance,NA,SA,0,1,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,2020,2020,0,1,0,0,0,1770790
South Australia,142,South Australian Water 200 Air Temperature Sensors in Parks and Playgrounds,Installation of air temperature sensors in public parks and playgrounds,NA,SA,0,0,1,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,2023,0,1,0,0,0,1770790
South Australia,154,Wildlife Watering Initiative during droughts,Response to severe drought and bushfires impacting native wildlife efforts have been focused on deploying simple and effective water fountations,NA,406,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,2021,0,1,0,0,0,1770790
South Australia,3,Adelaide Climate Change Risk Adaptation Action Plan,Policy for more sustainable buildings and developments improved communication to those experiencing homelessness regarding extreme weather,Adelaide,401,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2021,2022,0,1,0,0,0,1802601
South Australia,5,Adelaide Urban Greening Strategy,Comprehensive plan designed to increase tree canopy coverage and green spaces throughout metropolitan,Adelaide,401,0,0,0,0,1,South Australian Government,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2021,2026,0,1,0,0,0,1802601
South Australia,13,New Water Infrastructure to Barossa,Aims to treat transfer and distribute high quality recycled water to enhance primary industries,Barossa,405,0,0,1,0,0,Australian Government,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2021,2022,0,1,0,0,0,1802601
South Australia,42,Resilient South Assets Management Project RAMP,Improving resilience of Southern Adelaide communities to the risks posed by climate change by integrating climate risk into management processes,Onkaparinga; Mitchan; Marion; Holdfast Bay,403,0,1,0,0,0,LGA SA,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2021,NA,0,1,0,0,0,1802601
South Australia,45,McLaren Vale   Special Report,Re think of the implementation of world leading water management and strong movement towards sustainability,Onkaparinga,403,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2021,2021,0,1,0,0,0,1802601
South Australia,47,City of Playford Storm Water Management Plans,Improving infrastructure and planning to account for climate impacts to storm water management,Playford,402,0,0,0,0,1,Local Government,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2021,2022,0,1,0,0,0,1802601
South Australia,49,Enabling Resilience Investment Framework: case studies Port Adelaide,Build and demonstrate resilience investment capabilities in the Port Adelaide Enfield Local Government Area_ Forms the basis for ramping up the development of natinoal capabilities in enabling resilience investment,Port Adelaide Enfield,404,0,1,0,0,0,NA,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,2022,0,1,0,0,0,1802601
South Australia,57,Murraylands Bulldozers for Conservation Program,Working to protect and restore area of mallee habitat,Southern Mallee,406,0,0,0,1,0,Australian Government,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2021,2021,0,1,0,0,0,1802601
South Australia,66,Northern and Yorke Regional Drought Resilience Plan,Designed as a strategic document to inform plan and prioritise future investment that will help farm businesses,Yorke Peninsula; Northern Areas,405; 407,0,0,0,0,1,Australian Government,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,2024,0,1,0,0,0,1802601
South Australia,73,Bushfire Management Plans 2021 2025,Developed to reduce the impact of bushfires across SA_ Outline risks assessments planned mitigation measures and emergency response strategies,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2021,2025,0,1,0,0,0,1802601
South Australia,84,Goyders Line project,Designed to support the most vulnerable farmers,NA,405,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,2022,0,1,0,0,0,1802601
South Australia,87,Healthy Parks Healthy People SA 2021 2026 Plan,Cultural practices and identification of river red gum trees to carve turning them into shield scar trees to promote local Indigenous cultural practices,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2021,2026,0,1,0,0,0,1802601
South Australia,107,SA Climate Change Action Plan 2021  2025,Sets out the governments approach to addressing climate change over five years,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2021,2025,0,1,0,0,0,1802601
South Australia,118,SA Physical Activity in Nature Action Plan 2021 2024,Aimes to encourage people to angage more frequently in physical activities within natural settings,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2021,2024,0,1,0,0,0,1802601
South Australia,137,South Australian Flood Hazard Mapping and Assessment Project,Mapping and assessment project aims to identify and map flood hazards across the state to enhance flood risk management and resilience,NA,SA,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2021,2025,0,1,0,0,0,1802601
South Australia,148,The Barossa Water Security Strategy,Strategy published and the development of a water security strategy for the McLaren Vale region commenced_ Process used to develop water security strategies allows new water supplies expansion fo existing supplies and changing demand,NA,405,0,0,0,0,1,NA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2021,2022,0,1,0,0,0,1802601
South Australia,155,Green Industries SA Strategic Plan 2021 2025,Outlines the SA Governments five strategic priorities to advance the circular economy in SA,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2021,2025,0,1,0,0,0,1802601
South Australia,4,Adelaide Cool Roof Trial,Trial of the use of a ceramic cool roof coating which is more effective at blocking heat,Adelaide,401,0,0,1,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,2023,1,0,0,0,0,1834275
South Australia,6,Adelaide Urban Heat and Canopy Mapping,The first time that local and state government have partnered to capture tree canopy data for the entire metropolitan Adelaide area in a single study to provide a regionally consistent dataset and full picture of the urban environemnt,Adelaide,401,0,1,0,0,0,NA,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,20,Glenelg dune weed removal and planting,Project has focused on weed removal expected to stabilise the dunes and prevent further erosion,Holdfast Bay,403,0,0,0,1,0,Green Adelaide,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,33,Mitcham Council Virtual Power Plant Battery Project,Redefining how local governments tackle energy challenges while delivering real benefits for the environment and community,Mitcham,401,0,0,1,0,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2022,NA,1,0,0,0,0,1834275
South Australia,39,The Monarto Biodiversity Project,Researchers have undertaken re vegetation and planting program,Murray Bridge,405,0,0,0,1,0,Department of Environment and Water,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,2031,1,0,0,0,0,1834275
South Australia,43,City of Onkaparinga Climate Change Response Plan 2022 27,Addresses a range of responses from corporate emissions reduction to adaptation and community resilience,Onkaparinga,403,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2022,2027,1,0,0,0,0,1834275
South Australia,48,City of Playford: Urban Tree Strategy,Works alongside strategic planning documents addressing aseset renewal cycling and walking biodiversity and open space,Playford,402,0,0,0,0,1,Local Government,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,68,Adelaide Garden Guide for New Homes,Guides how to implement the planning and design code to maximise the benefits of trees and soft landscaping for development,NA,401,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,75,Climate Change Science and Knowledge Plan for SA 2022,Outlines an approach to completing coastal inundation modelling,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,80,Djulda wawa Badja Project,Aims to create a more resilient coast in the Yorke Peninsula,NA,405,0,0,1,0,0,Drought and Adaptation Program,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,2024,1,0,0,0,0,1834275
South Australia,99,River Murray Flood Resilience Code Amendment,Planning and design codes have been updated such that building structures will be more resilient to future,NA,407,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022,2023,1,0,0,0,0,1834275
South Australia,108,SA Coastal Protection Board Policy 2022,Develop and implement measures for protecting SA coastlines from the effects of climate change,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,121,SA State Emergency Management Plan 2022,Emphasizes environmental protection climate change awareness and the inclusion of vulnerble communities in emerging planning,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2022,2022,1,0,0,0,0,1834275
South Australia,125,SA Urban Water Directions Statement,Outlines an approach to managing urban water in SA,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,127,SA Water Allocation Plans,Legally enforceable documents that set out the rules for managing the take and use of prescribed water resources,NA,SA,0,0,0,0,1,South Australian Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2022,NA,1,0,0,0,0,1834275
South Australia,128,SA Water Security Statement,Provides a comprehensive overview of South Australias water security status_ Outlines strategic priorities aimed at enhancing water securitiy across the state,NA,SA,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,130,Seeds for Snapper volunteer led seagrass seed deployment,Planted seagrass seeds with the goal of habitat restoration climate adaptation through sediment stabilisation is a co benefit,NA,404,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,2022,1,0,0,0,0,1834275
South Australia,133,South Australian Climate Change Actions Summary Document 2022,Delivering a range of foundational actions to tackle climate change_ Government actions will help to build a strong climate ready economy,NA,SA,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,2022,NA,1,0,0,0,0,1834275
